Date,Close,Open,High,Low,Volume,MM_200,RSI_14
2025-04-01,85169.171875,82551.921875,85487.3671875,82429.359375,28175650319,86177.4339,49.0166
2025-03-31,82548.9140625,82336.0625,83870.125,81293.890625,29004228247,86054.2988,42.3216
2025-03-30,82334.5234375,82596.984375,83505.0,81573.25,14763760943,85932.3149,41.9069
2025-03-29,82597.5859375,84352.0703125,84567.3359375,81634.140625,16969396135,85807.1789,42.3408
2025-03-28,84353.1484375,87185.234375,87489.859375,83557.640625,34198619509,85682.3227,45.608
2025-03-27,87177.1015625,86896.2578125,87786.7265625,85837.9375,24413471941,85545.6832,51.5414
2025-03-26,86900.8828125,87460.234375,88292.15625,85861.453125,26704046038,85384.0014,50.9322
2025-03-25,87471.703125,87512.8203125,88542.3984375,86346.078125,30005840049,85220.153,51.9771
2025-03-24,87498.9140625,86070.9296875,88758.7265625,85541.1953125,34582604933,85052.7636,52.1666
2025-03-23,86054.375,83831.8984375,86094.78125,83794.9140625,12594615537,84895.9296,49.6167
2025-03-22,83832.484375,84046.2578125,84513.875,83674.78125,9863214091,84755.3199,45.3819
2025-03-21,84043.2421875,84164.5390625,84782.2734375,83171.0703125,19030452299,84623.404,45.7162
2025-03-20,84167.1953125,86872.953125,87443.265625,83647.1953125,29028988961,84498.7933,45.8978
2025-03-19,86854.2265625,82718.8046875,87021.1875,82569.7265625,34931960257,84364.3712,49.9888
2025-03-18,82718.5,84075.71875,84075.71875,81179.9921875,24095774594,84224.8233,42.6233
2025-03-17,84075.6875,82576.3359375,84725.328125,82492.15625,25092785558,84106.8933,44.5363
2025-03-16,82579.6875,84333.3203125,85051.6015625,82017.90625,21330270174,83983.6587,41.862
2025-03-15,84343.109375,83968.40625,84672.671875,83639.59375,13650491277,83866.0752,44.3117
2025-03-14,83969.1015625,81066.9921875,85263.2890625,80797.5625,29588112414,83741.5161,43.677
2025-03-13,81066.703125,83724.921875,84301.6953125,79931.8515625,31412940153,83635.8137,38.5838
2025-03-12,83722.359375,82857.375,84358.578125,80635.25,40353484454,83551.7062,41.6985
2025-03-11,82862.2109375,78523.875,83577.7578125,76624.25,54702837196,83454.3072,40.4118
2025-03-10,78532.0,80597.1484375,83955.9296875,77420.59375,54061099422,83360.1682,32.2696
2025-03-09,80601.0390625,86154.3046875,86471.1328125,80052.484375,30899345977,83269.3611,34.423
2025-03-08,86154.59375,86742.65625,86847.265625,85247.484375,18206118081,83171.6817,40.902
2025-03-07,86742.671875,89963.28125,91191.046875,84717.6796875,65945677657,83035.7362,41.6289
2025-03-06,89961.7265625,90622.359375,92804.9375,87852.140625,47749810486,82899.2146,45.9945
2025-03-05,90623.5625,87222.953125,90998.2421875,86379.7734375,50498988027,82741.7949,46.9802
2025-03-04,87222.1953125,86064.0703125,88911.2734375,81529.2421875,68095241474,82586.2637,41.2279
2025-03-03,86065.671875,94248.421875,94429.75,85081.3046875,70072228536,82444.4588,39.2406
2025-03-02,94248.3515625,86036.2578125,95043.4375,85040.2109375,58398341092,82301.3714,51.2079
2025-03-01,86031.9140625,84373.8671875,86522.3046875,83794.234375,29190628396,82123.4971,31.4563
2025-02-28,84373.0078125,84705.625,85036.3203125,78248.9140625,83610570576,81996.4192,25.6216
2025-02-27,84704.2265625,84076.859375,87000.78125,83144.9609375,52659591954,81871.7245,26.0128
2025-02-26,84347.0234375,88638.890625,89286.25,82131.8984375,64597492134,81742.211,24.3307
2025-02-25,88736.171875,91437.1171875,92511.078125,86008.234375,92139104128,81626.3272,29.8129
